tf,entry,retrace_atr,fee_pct,n_trades,win_rate,avg_win_r,avg_loss_r,expectancy_r,total_r,profit_factor,max_drawdown_r
1m,market_binance,,0.0009,235,0.30638297872340425,1.934614909901701,-1.1167463640737678,-0.18186120779192205,-42.73738383110168,0.7652174681055911,-45.12872695456341
1m,market_coinbase,,0.012,235,0.16170212765957448,0.6143356232514172,-2.9005620073109,-2.3321955819433766,-548.0659617566935,0.04085459556978683,-545.742017700749
1m,limit_0.10atr_binance,0.1,0.0004,225,0.3022222222222222,2.013600525951251,-1.032182934442418,-0.11167948863455368,-25.12788494277458,0.8449400612771205,-33.638305570035044
1m,limit_0.20atr_binance,0.2,0.0004,225,0.29333333333333333,2.141115167181229,-1.0115633024166304,-0.08677761800125833,-19.524964050283124,0.8786052086447282,-29.069446352592603
1m,limit_0.25atr_binance,0.25,0.0004,223,0.29596412556053814,2.0691716120603973,-1.0150714027997632,-0.10224611589047777,-22.800883843576543,0.8569277401445277,-29.69098882765876
1m,limit_0.35atr_binance,0.35,0.0004,217,0.31336405529953915,1.9813630174658632,-1.0318478838514038,-0.08761589634184547,-19.012649506180466,0.8763367386461589,-24.732012542203357
1m,limit_0.50atr_binance,0.5,0.0004,198,0.29797979797979796,2.02662697553693,-1.0067978545149359,-0.10289853646917783,-20.373910220897212,0.8544147735136586,-23.890937274707994
1m,limit_0.25atr_coinbase,0.25,0.008,223,0.21076233183856502,1.1611742670230518,-2.300535977213266,-1.5709378539885708,-350.3191414394513,0.13478872446032172,-348.4378454021554
3m,market_binance,,0.0009,138,0.36231884057971014,1.9619491399574058,-1.0085517988985495,0.06771665720868088,9.344898694797962,1.1052915980504692,-17.968946432922444
3m,market_coinbase,,0.012,138,0.26811594202898553,1.3375781993673548,-1.8904842721536355,-1.0249892616733702,-141.44851811092508,0.2591949068476156,-142.1802574057821
3m,limit_0.10atr_binance,0.1,0.0004,135,0.34814814814814815,1.9690460955869653,-0.9036835934435369,0.09645192792263815,13.02101026955615,1.1637365410459404,-19.7827982108509
3m,limit_0.20atr_binance,0.2,0.0004,138,0.3188405797101449,2.1404579832398123,-0.9481322824001157,0.03663562838362945,5.055716716940864,1.0567264941731946,-23.14221118498268
3m,limit_0.25atr_binance,0.25,0.0004,130,0.3384615384615385,1.966198066778208,-0.9636160196951553,0.02801336341890613,3.641737244457797,1.0439446636905187,-23.04926616302835
3m,limit_0.35atr_binance,0.35,0.0004,125,0.352,1.9858790869129093,-0.9782735138077797,0.0651082016459028,8.13852520573785,1.1027070838633237,-18.65371640438537
3m,limit_0.50atr_binance,0.5,0.0004,117,0.39316239316239315,1.935334346177326,-0.9689504977295732,0.17290508192613066,20.229894585357286,1.2940584616233228,-15.220300181323466
3m,limit_0.25atr_coinbase,0.25,0.008,130,0.26153846153846155,1.7142741433381314,-1.5813331596984053,-0.7194050958273109,-93.52266245755042,0.383941078687502,-99.65801426451551
5m,market_binance,,0.0009,100,0.36,2.082202715299042,-0.9867754956900178,0.11805666026604351,11.805666026604351,1.1869356631486925,-12.534547187536264
5m,market_coinbase,,0.012,100,0.33,1.5056677035836694,-1.6969373506401162,-0.6400776827462671,-64.00776827462671,0.4370211577734108,-66.60743150013714
5m,limit_0.10atr_binance,0.1,0.0004,94,0.3723404255319149,2.088890318269872,-0.9546161485571395,0.17860434441036468,16.78880837457428,1.2980842871508311,-9.485940058573842
