regime,side,n,mean_r,win_rate,total_r,boot_p
USD_BULL_CONFIRMED,all,1932,-0.042018962829969385,0.4880952380952381,-81.18063618750085,0.9528
USD_BULL_CONFIRMED,long,927,-0.05659932047761606,0.49406688241639696,-52.467570082750086,0.947
USD_BULL_CONFIRMED,short,1005,-0.02857021502960274,0.48258706467661694,-28.713066104750755,0.7878
USD_APPROACHING_KEY,all,1090,-0.09713935280335896,0.4669724770642202,-105.88189455566126,0.9984
USD_APPROACHING_KEY,long,517,-0.11113165281857657,0.4584139264990329,-57.455064507204085,0.9912
USD_APPROACHING_KEY,short,573,-0.08451453760638253,0.47469458987783597,-48.42683004845719,0.9664
USD_BASE_BUILDING,all,649,-0.021167146262039978,0.49614791987673346,-13.737477924063946,0.6786
USD_BASE_BUILDING,long,343,0.020687582587154932,0.5160349854227405,7.095840827394142,0.3564
USD_BASE_BUILDING,short,306,-0.06808274101783693,0.4738562091503268,-20.8333187514581,0.866
USD_WEAK,all,59,-0.06883758594733122,0.5084745762711864,-4.061417570892542,0.6962
USD_WEAK,long,33,0.03610341201022831,0.5151515151515151,1.1914125963375344,0.4404
USD_WEAK,short,26,-0.20203192950884913,0.5,-5.252830167230077,0.8832
